dellignoto, dell'ignoto,
tuttaltra tutt'altra
ventiquattrore ventiquattr'ore
lacciuga l'acciuga
cosè! cos'è!
cosè. cos'è.
leducazione. l'educazione.
Dallalto Dall'alto
Unora Un'ora
lacquolina l'acquolina
limbeccata l'imbeccata
alluscio all'uscio
losteria, l'osteria,
dellosteria dell'osteria
glinteressi gl'interessi
lolmo l'olmo
lappetito. l'appetito.
lavete l'avete
questanno quest'anno
nè n'è
saccendessero, s'accendessero,
SantAndrea. Sant'Andrea.
saffacciò s'affacciò
SantAlfio Sant'Alfio
dellanima dell'anima
luovo. l'uovo.
quellubbriacone quell'ubbriacone
Quellelefante Quell'elefante
questora, quest'ora,
allultimo all'ultimo
losteria l'osteria
nera n'era
docchio d'occhio
lortolano; l'ortolano;
collacqua coll'acqua
loste l'oste
allorecchio all'orecchio
lortolano, l'ortolano,
glielho gliel'ho
lho l'ho
quellacqua quell'acqua
tuttoro tutt'oro
lamico l'amico
lingegno». l'ingegno».
dellaltare dell'altare
dellAddolorata, dell'Addolorata,
unavemaria un'avemaria
laltra l'altra
dacqua d'acqua
allasciutto all'asciutto
questora! quest'ora!
sulluscio. sull'uscio.
Cè C'è
Sullimbrunire Sull'imbrunire
donde d'onde
quellora, quell'ora,
dallosteria dall'osteria
collorciolino coll'orciolino
dellolio, dell'olio,
laria l'aria
unocchiata un'occhiata
laspettavano, l'aspettavano,
quellorecchio, quell'orecchio,
e 'e
lingegno» l'ingegno»
dargento d'argento
«collinteresse «coll'interesse
laltro l'altro
dinganno», d'inganno»,
lostia l'ostia
lappendeva l'appendeva
daspersorio d'aspersorio
lorgano, l'organo,
luso, l'uso,
buonanima, buon'anima,
delletà, dell'età,
glielavevano gliel'avevano
linverno. l'inverno.
sintendeva s'intendeva
nientaltro, nient'altro,
sottacqua sott'acqua
buonanima. buon'anima.
centanni, cent'anni,
lostessa, l'ostessa,
sha s'ha
larte l'arte
que que'
Lha L'ha
lultimo l'ultimo
questinverno quest'inverno
allaltro; all'altro;
nellorto, nell'orto,
lanno. l'anno.
allanno. all'anno.
collorto, coll'orto,
lipoteca l'ipoteca
E E'
lusciere l'usciere
allultima all'ultima
cosera cos'era
lodore l'odore
quellaffare quell'affare
laltro». l'altro».
lhai l'hai
sullorecchio. sull'orecchio.
allamore all'amore
docchi d'occhi
comeran com'eran
lolmo, l'olmo,
lamistà»; l'amistà»;
lalba l'alba
lOgnina, l'Ognina,
dallaltra dall'altra
quandero quand'ero
dellacqua dell'acqua
laspetta. l'aspetta.
doro d'oro
dellacqua. dell'acqua.
locchio l'occhio
doro. d'oro.
labilità l'abilità
saffacciavano s'affacciavano
dallacqua dall'acqua
serano s'erano
saiutavano s'aiutavano
lesca l'esca
allOgnina all'Ognina
dellesca dell'esca
quarantonze! quarant'onze!
collusciere! coll'usciere!
Dusciere D'usciere
dusciere. d'usciere.
lestate l'estate
anchio anch'io
tuttaltro, tutt'altro,
savvicinava s'avvicinava
darance d'arance
alloscuro all'oscuro
dellipoteca dell'ipoteca
allultimo. all'ultimo.
lappetito l'appetito
collusciere coll'usciere
lusuraio, l'usuraio,
allalba all'alba
lusciere, l'usciere,
lerbabianca l'erbabianca
darance, d'arance,
Lavete L'avete
lavevo l'avevo
lusciere! l'usciere!
lusciere? l'usciere?
Lusciere L'usciere
dellusciere dell'usciere
centro c'entro
saspettava s'aspettava
Lavvocato L'avvocato
lavvocato l'avvocato
lavvocato; l'avvocato;
dellavvocato dell'avvocato
lavvocato. l'avvocato.
dimpazienza. d'impazienza.
lavvocato? l'avvocato?
cosha cos'ha
lavvocato, l'avvocato,
lhanno l'hanno
dellaltre dell'altre
allipoteca all'ipoteca
allipoteca. all'ipoteca.
allamicizia all'amicizia
linverno, l'inverno,
luna l'una
dellaltra, dell'altra,
sinfilò s'infilò
sullorecchio sull'orecchio
lombrello, l'ombrello,
quellaltra quell'altra
dellOgnina! dell'Ognina!
nellacqua nell'acqua
lusciere. l'usciere.
devessere dev'essere
daltea d'altea
unanitra, un'anitra,
dinverno d'inverno
allorditoio, all'orditoio,
dincerata d'incerata
lordito, l'ordito,
anchessa, anch'essa,
allestate, all'estate,
collaiuto coll'aiuto
sullorecchio, sull'orecchio,
luovo l'uovo
luno. l'uno.
dellaltro dell'altro
unaltra! un'altra!
tutta tutt'a
dallaltra. dall'altra.
quandè quand'è
lambasciata l'ambasciata
laumentano l'aumentano
delluscio dell'uscio
allesattore, all'esattore,
nellimpiccio nell'impiccio
quellimbroglione quell'imbroglione
tutte tutt'e
lincudine l'incudine
nellosteria nell'osteria
nessunaltri nessun'altri
Losteria L'osteria
labbiamo l'abbiamo
Sha S'ha
laccoppavano. l'accoppavano.
collasino coll'asino
lasino, l'asino,
laccoglieva l'accoglieva
dimpiccio d'impiccio
dabete, d'abete,
desempio, d'esempio,
dimproperi d'improperi
unarietta. un'arietta.
danimo, d'animo,
dabete d'abete
lindifferente, l'indifferente,
linserviente l'inserviente
dabete. d'abete.
dessere d'essere
laggiusto l'aggiusto
daggiustarla, d'aggiustarla,
loro l'oro
voglio. vogl'io.
questorecchia! quest'orecchia!
nellandarsene. nell'andarsene.
dasino; d'asino;
dalluscio. dall'uscio.
lore l'ore
alluscio, all'uscio,
susa s'usa
locchietto l'occhietto
allocchietto; all'occhietto;
comera, com'era,
unocchiataccia un'occhiataccia
alluscio: all'uscio:
dosso d'osso
dIndia, d'India,
glielavete gliel'avete
dattorno d'attorno
nellangolo nell'angolo
dellalba, dell'alba,
alluscio; all'uscio;
questabito quest'abito
cosera! cos'era!
sottocchio sott'occhio
lorto l'orto
SantAgata. Sant'Agata.
mintendo m'intendo
lho, l'ho,
allaria all'aria
larraffa! l'arraffa!
nellorecchio nell'orecchio
«luomo «l'uomo
unaria un'aria
bellordine bell'ordine
daddosso d'addosso
dorzo! d'orzo!
comentrano com'entrano
lascella l'ascella
davere d'avere
daverci d'averci
lestate, l'estate,
centro, c'entro,
dellOgnina. dell'Ognina.
allAscensione. all'Ascensione.
questimbroglio! quest'imbroglio!
dellAscensione, dell'Ascensione,
linvito l'invito
lAscensione l'Ascensione
dellAscensione. dell'Ascensione.
SantAgata! Sant'Agata!
dimbarazzo. d'imbarazzo.
dargento, d'argento,
allolmo all'olmo
lanima. l'anima.
lusciere; l'usciere;
quellaffronto. quell'affronto.
anchella anch'ella
quellusciere quell'usciere
Allosteria All'osteria
lallegria l'allegria
Glielho Gliel'ho
cosè cos'è
daccostarsi. d'accostarsi.
derbabianca. d'erbabianca.
dOrlando d'Orlando
dItalia, d'Italia,
sullorecchio! sull'orecchio!
lorecchio. l'orecchio.
lItalia; l'Italia;
comè? com'è?
nentrava n'entrava
nentra! n'entra!
nentra... n'entra...
sarrischiò s'arrischiò
comè, com'è,
sullimpagliettatura sull'impagliettatura
nullaltro. null'altro.
Laltro L'altro
belle bell'e
buonora, buon'ora,
centrava c'entrava
dandarsene. d'andarsene.
unarsura un'arsura
quelluomo quell'uomo
dallandare dall'andare
quellarsura, quell'arsura,
Collandare Coll'andare
simbarcava s'imbarcava
limpiegato, l'impiegato,
Dallora D'allora
lAddolorata l'Addolorata
sullaltare sull'altare
lanno! l'anno!
quandera quand'era
dinteressi d'interessi
collavvocato, coll'avvocato,
dallavvocato dall'avvocato
dallavvocato. dall'avvocato.
cherano ch'erano
po, po',
dincerata. d'incerata.
nellandarsene nell'andarsene
daria d'aria
lavrei l'avrei
limposta, l'imposta,
tuttaltra. tutt'altra.
allingrasso. all'ingrasso.
labbia l'abbia
lammazzavano, l'ammazzavano,
laccarezzava l'accarezzava
quelletà quell'età
quellangustia. quell'angustia.
anchio! anch'io!
nellaltra nell'altra
larcolaio l'arcolaio
linvidia l'invidia
luomo, l'uomo,
Bellaffare Bell'affare
simmischiano s'immischiano
singrosserebbero s'ingrosserebbero
lintenzione l'intenzione
allaltro, all'altro,
nelluovo nell'uovo
lorizzonte l'orizzonte
dargento; d'argento;
sabbia s'abbia
davermi d'avermi
lamistà». l'amistà».
laiuto l'aiuto
sullacqua sull'acqua
dore? d'ore?
sullimbrunire, sull'imbrunire,
dallaltro dall'altro
allaltezza all'altezza
dellAgnone, dell'Agnone,
lEtna, l'Etna,
tuttintorno tutt'intorno
Tutta Tutt'a
doverano. dov'erano.
Allimprovviso All'improvviso
unondata un'ondata
allantenna, all'antenna,
alludire all'udire
lammainò l'ammainò
sudì s'udì
lantenna l'antenna
collantenna coll'antenna
dellantenna dell'antenna
dore d'ore
laceto l'aceto
desempio d'esempio
daltri d'altri
quellomaccio! quell'omaccio!
limmagine l'immagine
dellacqua, dell'acqua,
questaltra quest'altra
buonanima buon'anima
lalba. l'alba.
collolio coll'olio
dellasinello dell'asinello
lora; l'ora;
linfermo l'infermo
anchesse. anch'esse.
sullabitino. sull'abitino.
dellaria, dell'aria,
allacqua all'acqua
luniforme l'uniforme
Lhai L'hai
linnamorata l'innamorata
lanima, l'anima,
alludir all'udir
docchi. d'occhi.
quellosso quell'osso
daiuto, d'aiuto,
daiuto d'aiuto
sullavventura. sull'avventura.
lappenderanno l'appenderanno
laltare! l'altare!
dellaspersorio; dell'aspersorio;
lacchiappereste l'acchiappereste
linimicizia. l'inimicizia.
quellimbroglio. quell'imbroglio.
perchera perch'era
lavete, l'avete,
dadesso, d'adesso,
laspettavo, l'aspettavo,
laglio. l'aglio.
nellora nell'ora
dellorto dell'orto
quattrotto quattr'otto
lombra l'ombra
chegli ch'egli
colluscio coll'uscio
lassoluzione, l'assoluzione,
lintonaco l'intonaco
dellabbeveratoio dell'abbeveratoio
lacqua. l'acqua.
darancia d'arancia
qualchedunaltra qualchedun'altra
destate. d'estate.
lavemaria l'avemaria
dogni d'ogni
dapprofittare. d'approfittare.
lolio; l'olio;
laltro? l'altro?
nelloro! nell'oro!
dellorecchio, dell'orecchio,
cimmischiare; c'immischiare;
belluomo bell'uomo
duomini d'uomini
dEgitto, d'Egitto,
anchio; anch'io;
questaltro, quest'altro,
lavranno l'avranno
lavrà l'avrà
lanello; l'anello;
dinnamorarvi d'innamorarvi
vavesse v'avesse
quelluccello, quell'uccello,
lavvocato! l'avvocato!
dasino! d'asino!
delluscio, dell'uscio,
allanno all'anno
cè! c'è!
tavesse t'avesse
docchi, d'occhi,
coshai! cos'hai!
unosteria un'osteria
allaltra, all'altra,
londa l'onda
landava l'andava
allaltare all'altare
dellAddolorata dell'Addolorata
delluscio; dell'uscio;
dacciughe d'acciughe
allombra all'ombra
dentrare d'entrare
dellerba dell'erba
lammalata, l'ammalata,
laltro; l'altro;
collaspersorio coll'aspersorio
Sera S'era
talaltra tal'altra
linverno; l'inverno;
dellaiuto, dell'aiuto,
mimporta m'importa
quellorfanella quell'orfanella
lè l'è
taiuto». t'aiuto».
chebbe ch'ebbe
allindomani all'indomani
quellossessa quell'ossessa
labbeveratoio l'abbeveratoio
nellorecchio. nell'orecchio.
quelloccasione! quell'occasione!
vè v'è
unanima un'anima
daccordo. d'accordo.
sullacqua; sull'acqua;
dorzo». d'orzo».
bellaffare bell'affare
saffrettavano s'affrettavano
comei com'ei
laiutasse l'aiutasse
nellestate nell'estate
nellorto. nell'orto.
Lultima L'ultima
quelluscio, quell'uscio,
lanimo l'animo
lanimo. l'animo.
sullerba sull'erba
lerano l'erano
centanni cent'anni
timmischi t'immischi
Anchio Anch'io
lindomani l'indomani
daver d'aver
cimbarchiamo c'imbarchiamo
mammazzano! m'ammazzano!
lanime l'anime
laspettava l'aspettava
dellingiustizia dell'ingiustizia
allingrosso, all'ingrosso,
cè; c'è;
nellignoranza. nell'ignoranza.
dun d'un
allora all'ora
quattrocchi. quattr'occhi.
mha m'ha
nellosteria, nell'osteria,
lamore l'amore
doverano, dov'erano,
salzò s'alzò
vera v'era
mavessi m'avessi
allospedale? all'ospedale?
po; po';
sintendevano s'intendevano
donore, d'onore,
lha? l'ha?
donore! d'onore!
tuttaltro tutt'altro
questoffesa, quest'offesa,
dambra. d'ambra.
lora l'ora
collanno coll'anno
dambra d'ambra
bellallungare bell'allungare
dissegli diss'egli
limbrunire, l'imbrunire,
questavvertimento quest'avvertimento
docchio. d'occhio.
questaltro quest'altro
dellantico dell'antico
Mha M'ha
luggia l'uggia
duomo? d'uomo?
nellimbroglio nell'imbroglio
allosteria! all'osteria!
SantAndrea Sant'Andrea
quellaffamato quell'affamato
Laltra L'altra
anchegli anch'egli
dellosteria; dell'osteria;
dallinvidia! dall'invidia!
collocchio coll'occhio
alluno: all'uno:
quellaltro: quell'altro:
nellorto nell'orto
quellaltro! quell'altro!
lacqua, l'acqua,
donore d'onore
senzaltro, senz'altro,
lincontrava. l'incontrava.
allangolo all'angolo
allosteria; all'osteria;
lincontrava l'incontrava
lincontrerò; l'incontrerò;
lincontro l'incontro
derba d'erba
questora. quest'ora.
delluscio. dell'uscio.
lorecchio l'orecchio
mè m'è
dellerbabianca; dell'erbabianca;
dandarle d'andarle
mavete m'avete
lamicizia, l'amicizia,
alluscio. all'uscio.
questora? quest'ora?
luscio. l'uscio.
Quellubbriacone Quell'ubbriacone
Lhanno L'hanno
lalba, l'alba,
dovè dov'è
allerta! all'erta!
nesce n'esce
taspetto!» t'aspetto!»
allAlbergo all'Albergo
allospedale, all'ospedale,
dandar d'andar
Lavvocato, L'avvocato,
unossessa: un'ossessa:
allavemaria all'avemaria
laccompagnava l'accompagnava
dandarci d'andarci
dovè, dov'è,
damici d'amici
Laveva L'aveva
glielha gliel'ha
Lavevano L'avevano
luccello. l'uccello.
lintendete l'intendete
dimprestare d'imprestare
allaltra. all'altra.
Segli S'egli
laspettavano l'aspettavano
sintromettesse s'intromettesse
dellamore dell'amore
Anchegli Anch'egli
allospedale all'ospedale
allalbergo. all'albergo.
allalbergo, all'albergo,
danno d'anno
dellospedale? dell'ospedale?
allospedale. all'ospedale.
Quellinvalido Quell'invalido
tantoro tant'oro
unosteria, un'osteria,
comè. com'è.
centanni. cent'anni.
quellasparagio quell'asparagio
litterizia l'itterizia
questaltro. quest'altro.
alluso all'uso
lasinello l'asinello
nellattraversare nell'attraversare
allospedale; all'ospedale;
allaprire all'aprire
langelo l'angelo
Langustia L'angustia
questonore! quest'onore!
questanima quest'anima
dAlessandria d'Alessandria
lavvenire, l'avvenire,
dandarsene d'andarsene
allaltra all'altra
quellaltra... quell'altra...
dandarmene! d'andarmene!
chei ch'ei
dimposte, d'imposte,
dandarmene, d'andarmene,
dAmerica d'America
dellisola dell'isola
lautunno, l'autunno,
quellisola quell'isola
soccupavano s'occupavano
daffondare d'affondare
dellAtlantico. dell'Atlantico.
ventottanni, ventott'anni,
sallineavano s'allineavano
allestremità all'estremità
dellaria dell'aria
dinvidia. d'invidia.
bellidea! bell'idea!
mannoierò m'annoierò
lAustralia, l'Australia,
lAsia, l'Asia,
lAfrica, l'Africa,
lEuropa l'Europa
centanni? cent'anni?
lAmerica l'America
glinventori gl'inventori
lesperimento. l'esperimento.
tannoierà. t'annoierà.
Cinquantanni Cinquant'anni
nellAlto nell'Alto
unantica un'antica
dallarabo dall'arabo
dellera dell'era
larabo l'arabo
lesperimento l'esperimento
dacqua. d'acqua.
anchegli, anch'egli,
lidea l'idea
delluomo? dell'uomo?
laspetto l'aspetto
Lanimale L'animale
dincredulità. d'incredulità.
vimmerse v'immerse
alladdormentato all'addormentato
quelleccellente quell'eccellente
granduomo; grand'uomo;
dellaltro? dell'altro?
Laria L'aria
dellAmerica dell'America
delleccellente dell'eccellente
lAtlantico l'Atlantico
Tuttaltro. Tutt'altro.
centra! c'entra!
salzò, s'alzò,
danni d'anni
ventiquattranni ventiquattr'anni
Unaltra Un'altra
Vè V'è
dautunno, d'autunno,
LOceano L'Oceano
sinfrangevano s'infrangevano
lapparenza l'apparenza
sullazzurro sull'azzurro
loceano l'oceano
savvicinasse s'avvicinasse
sulloceano. sull'oceano.
linterno l'interno
saccostavano s'accostavano
dellisola. dell'isola.
dellOceano dell'Oceano
dalleterna dall'eterna
mimporterebbe m'importerebbe
lultima. l'ultima.
duna d'una
sinnalzava s'innalzava
dellisola, dell'isola,
allirrompere all'irrompere
dellAtlantico dell'Atlantico
lordine l'ordine
Linterno L'interno
allamico. all'amico.
nessunaltra nessun'altra
lesperimento? l'esperimento?
sincrespava s'increspava
savanzavano s'avanzavano
sullimmenso sull'immenso
centoquarantanni, centoquarant'anni,
sallontanò, s'allontanò,
daddio; d'addio;
unultima un'ultima
loceano. l'oceano.
Cosè? Cos'è?
saccostò s'accostò
dellamico. dell'amico.
sessantanni, sessant'anni,
danni, d'anni,
sullorlo sull'orlo
unalta un'alta
lunico l'unico
Saccostò, S'accostò,
quellangolo. quell'angolo.
doggi? d'oggi?
Granduomo Grand'uomo
sintrodussero s'introdussero
trentanni trent'anni
Questuomo Quest'uomo
centanni!... cent'anni!...
Cosha Cos'ha
vingannate? v'ingannate?
centanni! cent'anni!
delladdormentato. dell'addormentato.
nellanello nell'anello
dacciaio. d'acciaio.
sulloceano sull'oceano
allintorno all'intorno
allora, all'ora,
lisola l'isola
loceano, l'oceano,
unaltezza un'altezza
dora, d'ora,
dellansietà, dell'ansietà,
forsanche fors'anche
quellorgano, quell'organo,
Centanni? Cent'anni?
quellistante quell'istante
Savvicinò S'avvicinò
dargento. d'argento.
sulluno sull'uno
sullaltro sull'altro
nellaltro nell'altro
dellinvasione dell'invasione
lamico, l'amico,
allimpazzata, all'impazzata,
maccorgo m'accorgo
dora d'ora
sessantanni sessant'anni
allalluminio. all'alluminio.
Saccostò S'accostò
sappoggiava s'appoggiava
allHôtel all'Hôtel
dellalbergo dell'albergo
dellHudson. dell'Hudson.
savanzò, s'avanzò,
lalbergo? l'albergo?
dallavere dall'avere
Quandebbe Quand'ebbe
allora. all'ora.
lalbergatore l'albergatore
duova, d'uova,
Centanni Cent'anni
collelettricità. coll'elettricità.
dellArgentina dell'Argentina
allestensione. all'estensione.
Daltronde D'altronde
doggi. d'oggi.
lagricoltura l'agricoltura
dallelettricità. dall'elettricità.
dellumanità. dell'umanità.
questoggi, quest'oggi,
lordine. l'ordine.
dinvadere d'invadere
allantropofagia. all'antropofagia.
quarantanni quarant'anni
simpiegavano s'impiegavano
minganno. m'inganno.
glinterruppe gl'interruppe
dabbonamento d'abbonamento
saprì s'aprì
collufficio coll'ufficio
duno d'uno
allagricoltura. all'agricoltura.
dilluminare d'illuminare
lilluminazione! l'illuminazione!
unasta un'asta
laprì l'aprì
lasta l'asta
cosè? cos'è?
dellenorme dell'enorme
Lelettricità L'elettricità
allEuropa, all'Europa,
lAtlantico. l'Atlantico.
unagitazione un'agitazione
unirritazione un'irritazione
Dallimmensa Dall'immensa
lelettricità l'elettricità
latmosfera l'atmosfera
unautomobile? un'automobile?
lhôtel l'hôtel
Lautomobile L'automobile
bravuomo brav'uomo
lattenzione l'attenzione
unombra un'ombra
cinquantanni cinquant'anni
lidrogeno l'idrogeno
sinnalzò s'innalzò
dellalluminio dell'alluminio
dacciaio d'acciaio
sincrociavano s'incrociavano
surtavano s'urtavano
nellAustralia. nell'Australia.
lEuropa. l'Europa.
lerede l'erede
lest l'est
lorganizzazione l'organizzazione
allantico, all'antico,
Glingegneri Gl'ingegneri
allantico all'antico
lHudson l'Hudson
unantenna un'antenna
lantico l'antico
senzaria, senz'aria,
senzacqua, senz'acqua,
sadagiava s'adagiava
dallenorme dall'enorme
dallimmensa dall'immensa
dallInghilterra dall'Inghilterra
LAmerica L'America
lastronomo. l'astronomo.
litaliano l'italiano
Ventiquattrore Ventiquattr'ore
unonda un'onda
dellestensione dell'estensione
Lanno L'anno
lacqua? l'acqua?
lepoca l'epoca
dellequinozio dell'equinozio
sinoltrano s'inoltrano
quelluomo, quell'uomo,
quellanfibio? quell'anfibio?
dEg. d'Eg.
daltezza d'altezza
allesterno all'esterno
lastronomo l'astronomo
lillusione l'illusione
allimmensa all'immensa
lavevamo l'avevamo
lelettricità. l'elettricità.
questagitazione quest'agitazione
labitudine. l'abitudine.
dellamico dell'amico
dimpossibile d'impossibile
lavvenire. l'avvenire.
dacciaio, d'acciaio,
Vingannate, V'ingannate,
allobbiettivo, all'obbiettivo,
dellasse dell'asse
nellasse nell'asse
dorologeria d'orologeria
lastro l'astro
lavviciniamo l'avviciniamo
unanimazione un'animazione
largento l'argento
vinganniate, v'inganniate,
unagilità un'agilità
dellanimale. dell'animale.
dellapparato dell'apparato
sallunga s'allunga
loggetto l'oggetto
lapparato l'apparato
unaspirazione un'aspirazione
dellelefante dell'elefante
dellorizzonte dell'orizzonte
collacciaio? coll'acciaio?
limmenso l'immenso
daria; d'aria;
lomnibus l'omnibus
Unenorme Un'enorme
dali d'ali
savanzava s'avanzava
nellalto nell'alto
limpero l'impero
sullEuropa sull'Europa
sullIndia. sull'India.
dellAfrica dell'Africa
dellAustralia. dell'Australia.
lelemento l'elemento
LItalia, L'Italia,
savviò s'avviò
quellampio quell'ampio
lOntario l'Ontario
lErie. l'Erie.
Limmensa L'immensa
Questacqua Quest'acqua
dallEuropa. dall'Europa.
allintorno, all'intorno,
saprirono s'aprirono
litinerario l'itinerario
lEuropa? l'Europa?
unabbondante un'abbondante
loccorrente l'occorrente
allufficio all'ufficio
unampia un'ampia
Allestremità All'estremità
darrivo d'arrivo
sinfiammano? s'infiammano?
dellargento. dell'argento.
dacqua, d'acqua,
dellEuropa dell'Europa
quellepoca quell'epoca
dallalto, dall'alto,
dellJum dell'Jum
dellIndia dell'India
Glindiani Gl'indiani
saprissero, s'aprissero,
sullOceano sull'Oceano
anchio. anch'io.
limporto l'importo
dagosto, d'agosto,
quellisola. quell'isola.
lumanità. l'umanità.
lapprovano l'approvano
lapproveranno l'approveranno
linterrogato. l'interrogato.
Linverno L'inverno
questanno, quest'anno,
loceano? l'oceano?
questanno. quest'anno.
dallaltra, dall'altra,
dHudson. d'Hudson.
dorso d'orso
cè? c'è?
Luno L'uno
saccostano s'accostano
allesterno, all'esterno,
dellalbero dell'albero
dallelettricità dall'elettricità
unazione un'azione
saccumula s'accumula
dallimpulso dall'impulso
Coshai, Cos'hai,
dallessere dall'essere
dellorizzonte. dell'orizzonte.
allimboccatura all'imboccatura
lentrata l'entrata
savanzò s'avanzò
lintera l'intera
lesistenza. l'esistenza.
legoismo l'egoismo
dellequipaggio. dell'equipaggio.
lingombro. l'ingombro.
dore. d'ore.
Lintero L'intero
questisola quest'isola
lantica l'antica
dentrata. d'entrata.
sincaricherà s'incaricherà
allinfermo all'infermo
dallangekoc, dall'angekoc,
dallorrore dall'orrore
lira l'ira
nellangusto nell'angusto
nellinterno. nell'interno.
allaperto all'aperto
daverne d'averne
Lenorme L'enorme
sullisola sull'isola
dEllesmere d'Ellesmere
lottantootto l'ottantootto
dugual d'ugual
sulloceano, sull'oceano,
lurto l'urto
saffretta s'affretta
quellacqua, quell'acqua,
allalbergo all'albergo
Lalbergo L'albergo
limperatore l'imperatore
allautocrazia. all'autocrazia.
lInghilterra, l'Inghilterra,
nellalbergo nell'albergo
Nullaltro Null'altro
sincrociano s'incrociano
quellestremo quell'estremo
quellarduo quell'arduo
questoggi quest'oggi
lincredibile l'incredibile
nellOceano nell'Oceano
sottacqua. sott'acqua.
collaumento coll'aumento
dellemisfero dell'emisfero
quellenorme quell'enorme
lOceano l'Oceano
millanni mill'anni
lequatore l'equatore
sullAmerica sull'America
sullAsia sull'Asia
lopera l'opera
delluomo. dell'uomo.
sinnalzavano s'innalzavano
unimpresa un'impresa
dellalbergo, dell'albergo,
linfluenza l'influenza
lisolamento l'isolamento
dincendi d'incendi
dEuropa d'Europa
Dinverno D'inverno
Cimbarcheremo C'imbarcheremo
lInghilterra. l'Inghilterra.
sallontanavano s'allontanavano
delloceano dell'oceano
sinformò s'informò
sullAtlantico sull'Atlantico
dorso? d'orso?
primordine, prim'ordine,
lumanità? l'umanità?
dellindomani dell'indomani
allorizzonte. all'orizzonte.
dellarrivo. dell'arrivo.
simbarcarono, s'imbarcarono,
allequipaggio; all'equipaggio;
dalluminio d'alluminio
dellIrlanda dell'Irlanda
Nullaltro, Null'altro,
delloceano. dell'oceano.
